systemId64,x,y,z,allegiance
3446417639779,-160.3125,-68.6875,-81.09375,Independent
3446417656163,-178.6875,-32.0625,-9.1875,Independent
3446434400627,-111.65625,56.4375,-127.46875,Independent
3446434433387,-127.0625,46.65625,49.1875,Alliance
3446434433395,-74.625,76.40625,-21.625,Independent
3446451177827,-23.03125,-37.625,-136.9375,Independent
3446451177835,-22.90625,22.34375,-124.15625,Empire
3446451194211,1.78125,-48.6875,-30.65625,Federation
3446451210587,-16.75,-174.40625,23.4375,Independent
3446451210595,-14.3125,-60.5625,-10.6875,Independent
3446451210611,-8.03125,77.84375,15.90625,Alliance
3446451210619,6.21875,161.84375,28.15625,Alliance
3446451226995,14.59375,74.40625,88.25,Independent
3446467955043,56.5,-87.28125,-160.46875,Empire
3446467955051,32.75,-2.3125,-164.9375,Empire
3446467955067,15.3125,152.125,-142.875,Empire
3446467971435,87.25,27.5625,-69.09375,Independent
3446467971443,70.21875,100.125,-90.65625,Independent
3446467971451,90.90625,148.6875,-42.96875,Independent
3446467987803,35.5,-108.59375,4.78125,Federation
3446467987811,92.1875,-32.125,-21.75,Independent
3446467987827,43.90625,100.6875,27.1875,Independent
3446467987835,63.21875,140.09375,47.375,Independent
3446468004203,64.8125,-16.875,117.84375,Independent
3446484732259,161.15625,-59.53125,-121.46875,Empire
3446484732267,164.0625,18.34375,-115.75,Independent
3446484732275,136.4375,86.90625,-133.3125,Empire
3446484748643,111.375,-90.46875,-84.25,Independent
3446484748651,120.78125,48.4375,-68.90625,Independent
3446484748659,155.03125,79.625,-57.8125,Empire
3446484765027,143.5625,-93.4375,-15.75,Federation
3446484765035,135.90625,20.5625,10.8125,Independent
3446501509491,190.0625,70.5625,-141.84375,Independent
3480794155363,-103.3125,-55.25,-72.0,Independent
3480794155371,-68.5625,12.34375,-43.125,Independent
3480794171755,-133.25,33.09375,48.28125,Federation
3480794171763,-87.96875,85.8125,-18.6875,Independent
3480794188147,-82.375,60.5625,95.0,Alliance
3480810916211,-18.3125,133.25,-158.46875,Independent
3480810932587,-63.4375,34.34375,-33.9375,Independent
3480810948963,-22.9375,-91.15625,-3.5,Federation
3480810948971,10.84375,-11.09375,41.125,Independent
3480810965371,-38.5625,161.96875,58.8125,Independent
3480827693419,41.71875,-7.8125,-179.09375,Empire
3480827693427,26.0,87.90625,-121.84375,Independent
3480827693435,46.5,190.59375,-142.1875,Empire
3480827709795,20.90625,-103.34375,-81.375,Independent
3480827726171,45.25,-123.3125,-0.5,Federation
3480827726179,92.28125,-27.375,-18.84375,Independent
3480827742571,62.09375,-24.4375,121.6875,Alliance
3480827742579,81.71875,119.3125,121.0,Independent
3480844470627,149.71875,-73.53125,-127.71875,Empire
3480844470635,170.125,6.875,-130.59375,Independent
3480844487003,128.15625,-133.34375,-51.875,Federation
3480844487011,101.9375,-82.5625,-74.6875,Independent
3480844487027,157.625,74.34375,-62.40625,Empire
3480844503403,124.46875,21.75,2.625,Independent
3480844503411,147.78125,55.125,28.625,Federation
3480861247851,183.3125,26.09375,-166.75,Independent
3480928373091,526.5,-37.9375,-86.375,Guardian
3515137132915,-170.9375,80.1875,2.59375,Independent
